epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,126.002,1.45146,0.49206,0.9681,1.29633,0.000199848,0.000199848,0.0802151
2,251.385,1.20605,0.56534,0.98161,1.1443,0.000399804,0.000399804,0.060415
3,376.707,1.13072,0.60574,0.98551,1.05782,0.000599587,0.000599587,0.0406148
4,501.533,1.06618,0.61173,0.98593,1.03865,0.000799066,0.000799066,0.0208143
5,626.103,1.01373,0.62803,0.98788,0.99247,0.000998112,0.000998112,0.00101334
6,751.47,0.96482,0.6343,0.98802,0.96977,0.000997288,0.000997288,0.000997288
7,876.428,0.92594,0.65826,0.99067,0.92531,0.000996097,0.000996097,0.000996097
8,1001.66,0.88241,0.6577,0.98997,0.92926,0.00099469,0.00099469,0.00099469
9,1126.24,0.85283,0.66286,0.99122,0.90739,0.000993068,0.000993068,0.000993068
10,1250.48,0.82696,0.66523,0.99039,0.90482,0.000991232,0.000991232,0.000991232
11,1374.15,0.80088,0.67484,0.99094,0.89516,0.000989183,0.000989183,0.000989183
12,1498.14,0.77626,0.67595,0.99178,0.89635,0.000986922,0.000986922,0.000986922
13,1622.42,0.74483,0.68027,0.99011,0.89104,0.000984449,0.000984449,0.000984449
14,1746.54,0.72519,0.67972,0.99234,0.88331,0.000981765,0.000981765,0.000981765
15,1870.78,0.70066,0.68905,0.9915,0.89419,0.000978873,0.000978873,0.000978873
16,1995.28,0.67605,0.68905,0.99276,0.89512,0.000975773,0.000975773,0.000975773
17,2121.39,0.65161,0.69156,0.99108,0.9014,0.000972466,0.000972466,0.000972466
18,2249.23,0.63505,0.69434,0.99094,0.90487,0.000968955,0.000968955,0.000968955
19,2380.39,0.6227,0.6942,0.99067,0.9061,0.000965239,0.000965239,0.000965239
20,2506.41,0.5964,0.6949,0.99039,0.90681,0.000961322,0.000961322,0.000961322
21,2633.96,0.57953,0.70201,0.99039,0.90179,0.000957205,0.000957205,0.000957205
22,2761.02,0.55602,0.70368,0.99053,0.90776,0.000952889,0.000952889,0.000952889
23,2890.85,0.539,0.70521,0.99039,0.9213,0.000948377,0.000948377,0.000948377
24,3020.51,0.52332,0.70605,0.99053,0.92386,0.000943671,0.000943671,0.000943671
25,3150.54,0.50222,0.708,0.99067,0.92381,0.000938772,0.000938772,0.000938772
26,3282.27,0.49219,0.7073,0.99067,0.94017,0.000933683,0.000933683,0.000933683
27,3408.94,0.47581,0.70758,0.99067,0.93662,0.000928405,0.000928405,0.000928405
28,3534.21,0.45773,0.7073,0.99039,0.94211,0.000922942,0.000922942,0.000922942
29,3664.48,0.44073,0.70744,0.99039,0.94038,0.000917296,0.000917296,0.000917296
30,3793.37,0.43409,0.70828,0.99011,0.9462,0.000911469,0.000911469,0.000911469
31,3922.73,0.41144,0.70744,0.99039,0.95497,0.000905463,0.000905463,0.000905463
32,4051.49,0.40163,0.70841,0.99067,0.9565,0.000899282,0.000899282,0.000899282
33,4178.89,0.3926,0.71064,0.99039,0.95928,0.000892928,0.000892928,0.000892928
34,4306.42,0.38172,0.70967,0.99053,0.96304,0.000886404,0.000886404,0.000886404
35,4434.06,0.36857,0.70981,0.99067,0.97088,0.000879713,0.000879713,0.000879713
36,4562.37,0.35769,0.70981,0.98997,0.97592,0.000872857,0.000872857,0.000872857
37,4690.5,0.35,0.70841,0.98983,0.97992,0.000865839,0.000865839,0.000865839
38,4818.53,0.33715,0.70939,0.98997,0.98549,0.000858664,0.000858664,0.000858664
39,4943.49,0.3272,0.70841,0.98969,0.99564,0.000851333,0.000851333,0.000851333
40,5073.1,0.3251,0.70883,0.98955,1.00409,0.000843851,0.000843851,0.000843851
41,5202.3,0.31105,0.70744,0.98983,1.01358,0.00083622,0.00083622,0.00083622
42,5330.61,0.3044,0.70744,0.98983,1.02225,0.000828443,0.000828443,0.000828443
43,5459.1,0.29887,0.70828,0.98983,1.02457,0.000820525,0.000820525,0.000820525
44,5587.18,0.28721,0.70786,0.98955,1.03548,0.000812468,0.000812468,0.000812468
45,5715.85,0.28508,0.70841,0.98983,1.04919,0.000804277,0.000804277,0.000804277
46,5844.31,0.27034,0.71023,0.99011,1.05477,0.000795954,0.000795954,0.000795954
47,5973.07,0.27156,0.7119,0.99025,1.07183,0.000787503,0.000787503,0.000787503
48,6101.53,0.2624,0.71176,0.99011,1.0694,0.000778929,0.000778929,0.000778929
49,6230.95,0.25102,0.7112,0.98997,1.0802,0.000770234,0.000770234,0.000770234
50,6358.84,0.24335,0.71162,0.98983,1.10073,0.000761423,0.000761423,0.000761423
51,6488.88,0.24168,0.71218,0.98913,1.10236,0.0007525,0.0007525,0.0007525
52,6617.41,0.23897,0.71176,0.98955,1.1155,0.000743468,0.000743468,0.000743468
53,6745.2,0.22508,0.71023,0.98927,1.13121,0.000734332,0.000734332,0.000734332
54,6873.81,0.22491,0.7105,0.98899,1.14623,0.000725094,0.000725094,0.000725094
55,7002.14,0.23202,0.71106,0.98872,1.1585,0.000715761,0.000715761,0.000715761
56,7131.03,0.2166,0.7105,0.98858,1.17185,0.000706335,0.000706335,0.000706335
57,7260.39,0.20787,0.71009,0.98899,1.17794,0.00069682,0.00069682,0.00069682
58,7389.17,0.21283,0.7105,0.98885,1.19786,0.000687222,0.000687222,0.000687222
59,7517.94,0.19739,0.70897,0.98872,1.2004,0.000677543,0.000677543,0.000677543
60,7647.38,0.1981,0.70814,0.98872,1.21729,0.000667789,0.000667789,0.000667789
61,7776.32,0.19809,0.708,0.98885,1.22867,0.000657963,0.000657963,0.000657963
62,7905.01,0.19082,0.708,0.98816,1.26694,0.000648071,0.000648071,0.000648071
63,8033.55,0.18644,0.70828,0.9883,1.25718,0.000638115,0.000638115,0.000638115
64,8162.09,0.18125,0.70939,0.98844,1.27171,0.000628101,0.000628101,0.000628101
65,8290.19,0.17713,0.70814,0.9883,1.31157,0.000618034,0.000618034,0.000618034
66,8417.05,0.17026,0.70953,0.98844,1.29432,0.000607916,0.000607916,0.000607916
67,8545.12,0.17311,0.71023,0.98858,1.3145,0.000597754,0.000597754,0.000597754
