epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,207.673,1.86966,0.247,0.77403,2.77803,6.66213e-05,6.66213e-05,0.066756
2,419.406,1.57788,0.49206,0.96434,1.31601,0.000133198,0.000133198,0.0334892
3,628.934,1.3996,0.51978,0.96684,1.26583,0.000199412,0.000199412,0.000222104
4,839.121,1.28303,0.57439,0.98175,1.11808,0.000198781,0.000198781,0.000198781
5,1050.03,1.18897,0.59557,0.98551,1.0628,0.000197837,0.000197837,0.000197837
6,1260.83,1.12128,0.60574,0.98774,1.04437,0.000196627,0.000196627,0.000196627
7,1471.74,1.06842,0.62037,0.98816,1.00242,0.000195155,0.000195155,0.000195155
8,1682.48,1.01789,0.63583,0.99025,0.9827,0.000193424,0.000193424,0.000193424
9,1893.58,0.97125,0.63639,0.99011,0.96801,0.000191441,0.000191441,0.000191441
10,2104.52,0.93675,0.65687,0.99067,0.93697,0.00018921,0.00018921,0.00018921
11,2315.54,0.901,0.66021,0.99122,0.9304,0.000186737,0.000186737,0.000186737
12,2526.53,0.87164,0.66272,0.99039,0.92387,0.000184028,0.000184028,0.000184028
13,2737,0.83787,0.66885,0.98983,0.91184,0.000181093,0.000181093,0.000181093
14,2947.77,0.80704,0.67303,0.99122,0.90648,0.000177937,0.000177937,0.000177937
15,3158.32,0.77242,0.67846,0.99136,0.9074,0.000174571,0.000174571,0.000174571
16,3369.28,0.75197,0.68222,0.99136,0.91288,0.000171004,0.000171004,0.000171004
17,3580.21,0.7231,0.68194,0.99164,0.90374,0.000167244,0.000167244,0.000167244
18,3790.86,0.69297,0.68417,0.99081,0.90653,0.000163303,0.000163303,0.000163303
19,4002.33,0.66536,0.68626,0.99053,0.91268,0.000159191,0.000159191,0.000159191
20,4212.9,0.63994,0.6878,0.99039,0.91629,0.000154919,0.000154919,0.000154919
21,4424.3,0.60939,0.68989,0.99067,0.91386,0.0001505,0.0001505,0.0001505
22,4635.22,0.58483,0.68738,0.99039,0.91848,0.000145945,0.000145945,0.000145945
23,4845.64,0.56187,0.68724,0.99025,0.93239,0.000141267,0.000141267,0.000141267
24,5056.71,0.53433,0.68961,0.98983,0.93877,0.000136478,0.000136478,0.000136478
25,5267.14,0.51054,0.69003,0.98983,0.93295,0.000131593,0.000131593,0.000131593
26,5477.66,0.48444,0.69156,0.98997,0.94696,0.000126623,0.000126623,0.000126623
27,5688.28,0.4584,0.69184,0.98997,0.94703,0.000121583,0.000121583,0.000121583
28,5898.99,0.44492,0.69072,0.98983,0.9529,0.000116487,0.000116487,0.000116487
29,6109.56,0.4176,0.69072,0.99039,0.95611,0.000111348,0.000111348,0.000111348
30,6319.72,0.40046,0.69267,0.99011,0.97049,0.000106181,0.000106181,0.000106181
31,6530.44,0.37991,0.69211,0.98983,0.97617,0.000101,0.000101,0.000101
32,6740.58,0.3635,0.69309,0.98969,0.98437,9.58187e-05,9.58187e-05,9.58187e-05
33,6951.13,0.34413,0.69198,0.99011,0.99618,9.06517e-05,9.06517e-05,9.06517e-05
34,7161.37,0.33192,0.69086,0.98983,1.00166,8.5513e-05,8.5513e-05,8.5513e-05
35,7371.5,0.31245,0.69072,0.98927,1.01204,8.04167e-05,8.04167e-05,8.04167e-05
36,7582.18,0.30305,0.691,0.98941,1.02618,7.53769e-05,7.53769e-05,7.53769e-05
37,7792.02,0.28726,0.69253,0.98955,1.04159,7.04073e-05,7.04073e-05,7.04073e-05
38,8002.54,0.27044,0.69323,0.98955,1.05138,6.55216e-05,6.55216e-05,6.55216e-05
39,8213.61,0.26177,0.69225,0.98955,1.06459,6.07331e-05,6.07331e-05,6.07331e-05
40,8423.94,0.24767,0.69211,0.98969,1.08553,5.60549e-05,5.60549e-05,5.60549e-05
41,8634.37,0.23615,0.69309,0.99025,1.09919,5.15e-05,5.15e-05,5.15e-05
42,8844.59,0.23257,0.69407,0.99011,1.11063,4.70807e-05,4.70807e-05,4.70807e-05
43,9054.97,0.21633,0.6942,0.98997,1.12436,4.28093e-05,4.28093e-05,4.28093e-05
44,9265,0.21041,0.6942,0.98969,1.14401,3.86973e-05,3.86973e-05,3.86973e-05
45,9475.34,0.20182,0.69532,0.98913,1.16133,3.47561e-05,3.47561e-05,3.47561e-05
46,9685.58,0.19452,0.6949,0.98955,1.16651,3.09964e-05,3.09964e-05,3.09964e-05
47,9895.75,0.18931,0.69602,0.98983,1.19875,2.74287e-05,2.74287e-05,2.74287e-05
48,10106.4,0.17824,0.69574,0.98983,1.20644,2.40625e-05,2.40625e-05,2.40625e-05
49,10316.6,0.17465,0.69588,0.98927,1.21324,2.09073e-05,2.09073e-05,2.09073e-05
50,10526.9,0.17606,0.69588,0.98913,1.23855,1.79716e-05,1.79716e-05,1.79716e-05
51,10748.3,0.16349,0.6949,0.98872,1.24888,1.52635e-05,1.52635e-05,1.52635e-05
52,10958.3,0.15774,0.6956,0.98844,1.25938,1.27904e-05,1.27904e-05,1.27904e-05
53,11168.4,0.15666,0.69476,0.9883,1.28513,1.0559e-05,1.0559e-05,1.0559e-05
54,11378.7,0.15451,0.69448,0.98788,1.29439,8.57554e-06,8.57554e-06,8.57554e-06
55,11588.9,0.15224,0.69323,0.98774,1.31241,6.8454e-06,6.8454e-06,6.8454e-06
56,11798.7,0.15054,0.69379,0.9876,1.31754,5.37334e-06,5.37334e-06,5.37334e-06
57,12009.2,0.14998,0.69434,0.9876,1.33086,4.16339e-06,4.16339e-06,4.16339e-06
58,12220.7,0.14579,0.6942,0.98718,1.3583,3.21885e-06,3.21885e-06,3.21885e-06
59,12434.7,0.14307,0.69351,0.98732,1.35621,2.54233e-06,2.54233e-06,2.54233e-06
