epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,102.745,1.75749,0.44915,0.9433,1.50447,9.99319e-05,9.99319e-05,0.0801135
2,210.392,1.52334,0.51031,0.96698,1.30347,0.00019991,0.00019991,0.0602135
3,321.248,1.38875,0.53511,0.97409,1.2312,0.000299802,0.000299802,0.0403134
4,439.03,1.3097,0.55224,0.97757,1.17348,0.000399541,0.000399541,0.0204132
5,548.029,1.24588,0.55795,0.97785,1.15769,0.000499064,0.000499064,0.000512679
6,651.137,1.19716,0.57049,0.98064,1.13701,0.000498644,0.000498644,0.000498644
7,754.42,1.16164,0.5808,0.98272,1.10939,0.000498048,0.000498048,0.000498048
8,857.109,1.13236,0.5886,0.98426,1.0964,0.000497345,0.000497345,0.000497345
9,960.024,1.10482,0.58596,0.98481,1.10205,0.000496534,0.000496534,0.000496534
10,1063.15,1.08251,0.59014,0.98398,1.0878,0.000495616,0.000495616,0.000495616
11,1166.23,1.05974,0.59459,0.98426,1.07982,0.000494592,0.000494592,0.000494592
12,1269.58,1.04624,0.6049,0.98412,1.07528,0.000493461,0.000493461,0.000493461
13,1372.54,1.02768,0.59975,0.98356,1.07346,0.000492224,0.000492224,0.000492224
14,1475.84,1.01761,0.60267,0.98426,1.06728,0.000490883,0.000490883,0.000490883
15,1579.11,0.99702,0.60337,0.98454,1.06659,0.000489437,0.000489437,0.000489437
16,1682.29,0.98728,0.60031,0.98509,1.06664,0.000487886,0.000487886,0.000487886
17,1785.69,0.97819,0.60421,0.98454,1.05618,0.000486233,0.000486233,0.000486233
18,1888.86,0.96592,0.60685,0.98426,1.05448,0.000484477,0.000484477,0.000484477
19,1991.84,0.95413,0.60922,0.9844,1.05604,0.00048262,0.00048262,0.00048262
20,2095.28,0.94661,0.61117,0.98412,1.05736,0.000480661,0.000480661,0.000480661
21,2198.91,0.936,0.61076,0.9844,1.05332,0.000478603,0.000478603,0.000478603
22,2302.31,0.92804,0.61312,0.9844,1.05279,0.000476445,0.000476445,0.000476445
23,2405.48,0.92282,0.61271,0.98509,1.05275,0.000474189,0.000474189,0.000474189
24,2508.63,0.90685,0.61382,0.98537,1.05181,0.000471835,0.000471835,0.000471835
25,2611.87,0.90337,0.61521,0.98565,1.04581,0.000469386,0.000469386,0.000469386
26,2714.92,0.8935,0.61535,0.98551,1.05562,0.000466841,0.000466841,0.000466841
27,2817.6,0.8828,0.61675,0.98593,1.05218,0.000464203,0.000464203,0.000464203
28,2921.04,0.88185,0.61619,0.98621,1.05035,0.000461471,0.000461471,0.000461471
29,3024.45,0.87151,0.61702,0.98593,1.04295,0.000458648,0.000458648,0.000458648
30,3127.86,0.86176,0.61619,0.98551,1.04848,0.000455734,0.000455734,0.000455734
31,3231.13,0.86002,0.61758,0.98551,1.04315,0.000452732,0.000452732,0.000452732
32,3333.81,0.85552,0.61591,0.98565,1.04843,0.000449641,0.000449641,0.000449641
33,3436.99,0.84386,0.61675,0.98565,1.04031,0.000446464,0.000446464,0.000446464
34,3540.14,0.83924,0.61828,0.98565,1.0416,0.000443202,0.000443202,0.000443202
35,3643.18,0.83137,0.62009,0.98551,1.04,0.000439856,0.000439856,0.000439856
36,3746.56,0.82902,0.61884,0.98579,1.04291,0.000436428,0.000436428,0.000436428
37,3849.2,0.82635,0.62037,0.98579,1.04223,0.00043292,0.00043292,0.00043292
38,3952.14,0.81651,0.6212,0.98579,1.04262,0.000429332,0.000429332,0.000429332
39,4055.54,0.80776,0.62079,0.98621,1.04425,0.000425667,0.000425667,0.000425667
40,4158.1,0.79647,0.6212,0.98593,1.04727,0.000421925,0.000421925,0.000421925
41,4260.69,0.79962,0.62037,0.98537,1.04991,0.00041811,0.00041811,0.00041811
42,4363.49,0.79176,0.62288,0.98523,1.04205,0.000414222,0.000414222,0.000414222
43,4465.74,0.79231,0.6226,0.98579,1.0448,0.000410262,0.000410262,0.000410262
44,4568.64,0.78767,0.62315,0.98551,1.04908,0.000406234,0.000406234,0.000406234
45,4671.22,0.77951,0.62301,0.98551,1.04685,0.000402138,0.000402138,0.000402138
46,4773.62,0.77455,0.62288,0.98523,1.04364,0.000397977,0.000397977,0.000397977
47,4876.04,0.77171,0.62343,0.98523,1.04855,0.000393752,0.000393752,0.000393752
48,4978.39,0.77052,0.62343,0.98509,1.04515,0.000389464,0.000389464,0.000389464
49,5081.11,0.76838,0.62524,0.98509,1.04694,0.000385117,0.000385117,0.000385117
50,5183.33,0.75784,0.62469,0.98481,1.0512,0.000380712,0.000380712,0.000380712
